% time (yyyyDDD),wavelength (nm),irradiance (W/m^2/nm),uncertainty (unitless)
1999047,65.75,4.3328873289283365E-6,0.07553735375404358
1999047,65.85,1.7311425608568243E-6,0.2583601474761963
1999047,65.95,1.7283967963521718E-6,0.18338243663311005
1999047,66.05,2.3302409317693673E-6,0.11107733100652695
1999047,66.15,8.274173524114303E-6,0.026940766721963882
1999047,66.25,1.8925341009889962E-6,0.13474853336811066
1999047,66.35,2.049093382083811E-6,0.20778165757656097
1999047,66.45,1.0594740160740912E-6,0.5853971242904663
1999047,66.55,1.033988269227848E-6,0.6507344245910645
1999047,66.65,1.1258445056228084E-6,0.6838517189025879
1999047,66.75,1.1260744940955192E-6,0.6929583549499512
1999047,66.85,1.201617351398454E-6,0.6026321649551392
1999047,66.95,1.3753856364928652E-6,0.4158615469932556
1999047,67.05,1.5378524267362081E-6,0.4250462055206299
1999047,67.15,2.449382691338542E-6,0.2583349943161011
1999047,67.25,1.6999044873955427E-6,0.4736030399799347
1999047,67.35,1.727153176034335E-6,0.5226196050643921
1999047,67.45,1.6008176544346497E-6,0.5170630216598511
1999047,67.55,1.481302319916722E-6,0.5657138824462891
1999047,67.65,2.929902620962821E-6,0.11459814757108688
1999047,67.75,2.301116865055519E-6,0.317787230014801
1999047,67.85,2.666441105247941E-6,0.313600093126297
1999047,67.95,2.1669218313036254E-6,0.32285916805267334
1999047,68.05,6.205498721101321E-6,0.07501457631587982
1999047,68.15,1.0187407497141976E-5,0.08225561678409576
1999047,68.25,3.4670974855544046E-6,0.11823545396327972
1999047,68.35,3.079229372815462E-6,0.25458824634552
1999047,68.45,3.831104550044984E-6,0.06740917265415192
1999047,68.55,2.1192359781707637E-5,0.030170977115631104
1999047,68.65,1.219885962200351E-5,0.035174354910850525
1999047,68.75,5.026930921303574E-6,0.1295880675315857
1999047,68.85,1.9931812857976183E-6,0.5598157048225403
1999047,68.95,2.181310037485673E-6,0.4162428081035614
1999047,69.05,3.852707322948845E-6,0.21117879450321198
1999047,69.15,2.913856860686792E-6,0.25078633427619934
1999047,69.25,1.7350575944874436E-6,0.5755046606063843
1999047,69.35,2.987065727211302E-6,0.12100977450609207
1999047,69.45,7.033132078504423E-6,0.08676353842020035
1999047,69.55,2.4235657747340156E-6,0.2788088917732239
1999047,69.65,2.6392083327664295E-6,0.28211653232574463
1999047,69.75,2.406364501439384E-6,0.46910062432289124
1999047,69.85,2.3396025881083915E-6,0.5255370140075684
1999047,69.95,3.120435849268688E-6,0.31855472922325134
1999047,70.05,5.797485755465459E-6,0.19180302321910858
1999047,70.15,4.269236796972109E-6,0.08032259345054626
1999047,70.25,3.549128450686112E-5,0.03549214079976082
1999047,70.35,5.2453546231845394E-5,0.02471822313964367
1999047,70.45,2.376842894591391E-5,0.040891218930482864
1999047,70.55,9.257595593226142E-6,0.10073298960924149
1999047,70.65,1.1932642337342259E-5,0.09386486560106277
1999047,70.75,2.948070687125437E-6,0.49092400074005127
1999047,70.85,2.5112915409408743E-6,0.5680551528930664
1999047,70.95,2.2070557861297857E-6,0.4745768904685974
1999047,71.05,2.4412433958787005E-6,0.38449183106422424
